Long,Lat,Junction_ID
-79.4052277,43.6569824,1
-79.3079071,43.7787323,2
-79.225029,43.7659416,3
-79.1408234,43.7786484,4
-79.2883606,43.6912346,5
-79.3533096,43.6885529,6
-79.380806,43.6498947,7
-79.3867798,43.6633606,8
-79.6113205,43.7106895,9
-79.4360199,43.6987724,10
-79.5086365,43.7209167,11
-79.41642,43.7357941,12
-79.2098007,43.8142128,13
-79.3597565,43.6507607,14
-79.2372894,43.7366791,15
-79.5653076,43.7372398,16
-79.2409515,43.7669373,17
-79.3954315,43.6719017,18
-79.2615738,43.8111191,19
-79.2167892,43.7602196,20
-79.2993469,43.783596,21
-79.3716354,43.7680206,22
-79.3992844,43.7109146,23
-79.5660629,43.7605896,24
-79.4443359,43.6944466,25
-79.2782669,43.6990395,26
-79.3735657,43.6609459,27
-79.2915649,43.6961517,28
-79.3799057,43.6699753,29
-79.4855499,43.6198273,30
-79.5494156,43.6204758,31
-79.3953629,43.6462173,32
-79.4249268,43.6326866,33
-79.4936447,43.7626038,34
-79.2773132,43.7763481,35
-79.2535248,43.7238808,36
-79.3529205,43.6638794,37
-79.4464645,43.666729,38
-79.5060043,43.6255836,39
-79.5362625,43.7532921,40
-79.5041428,43.6010094,41
-79.1996384,43.8172684,42
-79.2716904,43.7326088,43
-79.5949554,43.7360191,44
-79.4997559,43.6782417,45
-79.2827606,43.7279472,46
-79.4676514,43.6632538,47
-79.437439,43.6647186,48
-79.3845978,43.6649399,49
-79.3531036,43.6612625,50
-79.2049789,43.7826042,51
-79.5104523,43.7492294,52
-79.5007935,43.7130585,53
-79.3560867,43.6616592,54
-79.3162155,43.6654968,55
-79.3400726,43.6817017,56
-79.4798889,43.6486626,57
-79.3948364,43.675087,58
-79.5698776,43.7407722,59
-79.4027023,43.6439285,60
-79.3849564,43.665844,61
-79.3058929,43.7325554,62
-79.450943,43.772316,63
-79.3021011,43.7233849,64
-79.5113144,43.6983452,65
-79.3834229,43.6621399,66
-79.4483719,43.6445541,67
-79.2568359,43.7348099,68
-79.3640366,43.66259,69
-79.2083435,43.7879753,70
-79.4206009,43.6488876,71
-79.4887619,43.7545166,72
-79.2884598,43.6714821,73
-79.4382629,43.7092209,74
-79.4353638,43.644207,75
-79.3931351,43.6444435,76
-79.4132309,43.7036133,77
-79.4633865,43.7502518,78
-79.3588104,43.7390213,79
-79.5811157,43.7138481,80
-79.44841,43.7152138,81
-79.4014664,43.7443771,82
-79.3356094,43.6692543,83
-79.5221329,43.7555389,84
-79.4114685,43.6407585,85
-79.4882278,43.6157379,86
-79.3004684,43.808918,87
-79.206131,43.7490578,88
-79.3801956,43.6399651,89
-79.3276825,43.7606697,90
-79.423439,43.6736374,91
-79.4495392,43.7658844,92
-79.39328,43.6483955,93
-79.5086136,43.7300453,94
-79.2659073,43.7539368,95
-79.3946838,43.6589546,96
-79.5261154,43.7069969,97
-79.3865509,43.6673126,98
-79.4419708,43.6841621,99
-79.3604431,43.6759071,100
-79.4219131,43.7355156,101
-79.5489807,43.6488075,102
-79.4097672,43.6615181,103
-79.2580872,43.7853737,104
-79.417511,43.659935,105
-79.261528,43.7579689,106
-79.3323822,43.6814842,107
-79.168457,43.79282,108
-79.4585876,43.7132835,109
-79.4901657,43.6964302,110
-79.3969421,43.6755562,111
-79.4277039,43.6813011,112
-79.5551147,43.715107,113
-79.3783493,43.6662865,114
-79.2801514,43.7441444,115
-79.5041504,43.6897736,116
-79.4803085,43.6833611,117
-79.6184311,43.7197075,118
-79.380928,43.6563301,119
-79.3089523,43.7105293,120
-79.4188614,43.644207,121
-79.4773407,43.6805687,122
-79.4505997,43.6441269,123
-79.3744507,43.6688728,124
-79.312645,43.6798286,125
-79.266449,43.7056885,126
-79.287796,43.6765137,127
-79.4347763,43.6339531,128
-79.4540253,43.7108192,129
-79.6158524,43.7238922,130
-79.2587738,43.7360458,131
-79.4549179,43.6887207,132
-79.3015976,43.6876793,133
-79.58815,43.6989975,134
-79.3452988,43.7905769,135
-79.4820709,43.7266426,136
-79.3695679,43.7467575,137
-79.3269882,43.8065605,138
-79.3694611,43.6545258,139
-79.3314056,43.7183647,140
-79.3941269,43.7579613,141
-79.3472977,43.7695351,142
-79.4283752,43.6457558,143
-79.1988754,43.7601471,144
-79.4348679,43.7371902,145
-79.3640366,43.7572632,146
-79.4988251,43.6844788,147
-79.5448914,43.6785393,148
-79.3722076,43.6676369,149
-79.3671875,43.6623344,150
-79.1688843,43.7723045,151
-79.3010864,43.8037453,152
-79.183609,43.7619133,153
-79.5870972,43.7536201,154
-79.3439102,43.6766357,155
-79.487709,43.7265053,156
-79.3685379,43.6620445,157
-79.3999252,43.6959763,158
-79.5635376,43.6822929,159
-79.2357864,43.7449646,160
-79.2272263,43.8333588,161
-79.3840103,43.6423912,162
-79.6075745,43.7386208,163
-79.2197266,43.7451057,164
-79.507225,43.7154579,165
-79.4038696,43.6666603,166
-79.4324417,43.6396942,167
-79.480423,43.6764336,168
-79.4769135,43.6302719,169
-79.5789719,43.7353172,170
-79.4210129,43.639473,171
-79.5167313,43.7209435,172
-79.3701248,43.6561661,173
-79.2667389,43.7152596,174
-79.3691483,43.6533813,175
-79.4036484,43.7665977,176
-79.2371368,43.8142204,177
-79.2645569,43.7327728,178
-79.2639694,43.7139969,179
-79.4882813,43.7640915,180
-79.4174805,43.6810532,181
-79.3059692,43.7142792,182
-79.3343124,43.6623383,183
-79.5027771,43.6920547,184
-79.4464111,43.6395187,185
-79.3986816,43.7082138,186
-79.404007,43.6471901,187
-79.4360275,43.7931442,188
-79.2258224,43.734993,189
-79.3827209,43.6459846,190
-79.3140182,43.7543449,191
-79.499054,43.6419373,192
-79.3170853,43.7424698,193
-79.4493332,43.6959,194
-79.4026871,43.6560936,195
-79.4041901,43.6674652,196
-79.3760452,43.6481552,197
-79.2882614,43.7832909,198
-79.4375916,43.651577,199
-79.5820007,43.6406517,200
-79.4299316,43.6542206,201
-79.2387543,43.7938728,202
-79.3868179,43.639431,203
-79.3912811,43.6711349,204
